title,originalTitle,director,kinoriumId,collections_0_id,type,personalOpinion,status,watchDate
Шрэк навсегда,"Shrek Forever After, 2010",Майк Митчелл,399401,7,cartoon,neutral,watched,07/18/2025
"Кот в сапогах","Puss in Boots","Крис Миллер","339905",7,cartoon,neutral,watched,07/18/2025
"Вперёд","Onward","Дэн Скэнлон","1642939",7,cartoon,neutral,watched,07/18/2025
"Суперсемейка 2","Incredibles 2","Брэд Бёрд","775017",7,cartoon,neutral,watched,07/18/2025
"Девять","9","Шэйн Экер","355035",7,cartoon,neutral,watched,07/18/2025
"Красавица и чудовище","Beauty and the Beast","Гари Труздейл","92628",7,cartoon,neutral,watched,07/18/2025
"Артур и минипуты","Arthur et les Minimoys","Люк Бессон","270792",7,cartoon,neutral,watched,07/18/2025
"Легенды ночных стражей","Legend of the Guardians: The Owls of Ga’Hoole","Зак Снайдер","445756",7,cartoon,neutral,watched,07/18/2025
"Лесная братва","Over the Hedge","Тим Джонсон","257752",7,cartoon,neutral,watched,07/18/2025
"Сезон охоты 2","Open Season 2","Мэттью О’Каллахэн","428881",7,cartoon,neutral,watched,07/18/2025
"Подводная братва","Shark Tale","Бибо Бержерон","243552",7,cartoon,neutral,watched,07/18/2025
"Лови волну!","Surf’s Up","Эш Брэннон","322979",7,cartoon,neutral,watched,07/18/2025
"Кунг-фу Панда 3","Kung Fu Panda 3","Алессандро Карлони","642003",7,cartoon,neutral,watched,07/18/2025
"Гринч","The Grinch","Ярроу Чейни","689577",7,cartoon,neutral,watched,07/18/2025
"Дом","Home","Тим Джонсон","634618",7,cartoon,neutral,watched,07/18/2025
"Черепашки-ниндзя","Teenage Mutant Ninja Turtles","Джонатан Либесман","456423",7,cartoon,neutral,watched,07/18/2025
"Ледниковый период 3: Эра динозавров","Ice Age: Dawn of the Dinosaurs","Карлус Салданья","425119",7,cartoon,neutral,watched,07/18/2025
"Мегамозг","Megamind","Том МакГрат","414471",7,cartoon,neutral,watched,07/18/2025
"Монстры на каникулах: Трансформания","Hotel Transylvania: Transformania","Дерек Драймон","2030941",7,cartoon,neutral,watched,07/18/2025
"Труп невесты","Corpse Bride","Тим Бёртон","109550",7,cartoon,neutral,watched,07/18/2025
"Фердинанд","Ferdinand","Карлус Салданья","753520",7,cartoon,neutral,watched,07/18/2025
"Кто подставил кролика Роджера","Who Framed Roger Rabbit","Роберт Земекис","88377",7,cartoon,neutral,watched,07/18/2025
"Коралина в Стране Кошмаров","Coraline","Генри Селик","258110",7,cartoon,neutral,watched,07/18/2025
"Алеша Попович и Тугарин Змей","Алеша Попович и Тугарин Змей","Константин Бронзит","317597",7,cartoon,neutral,watched,07/18/2025
"Планета сокровищ","Treasure Planet","Рон Клементс","116915",7,cartoon,neutral,watched,07/18/2025
"Рапунцель: Запутанная история","Tangled","Нэйтан Грено","307185",7,cartoon,neutral,watched,07/18/2025
"Город героев","Big Hero 6","Дон Холл","638239",7,cartoon,neutral,watched,07/18/2025
"Как приручить дракона 2","How to Train Your Dragon 2","Дин ДеБлуа","531368",7,cartoon,neutral,watched,07/18/2025
"Атлантида: Затерянный мир","Atlantis: The Lost Empire","Гари Труздейл","186898",7,cartoon,neutral,watched,07/18/2025
