title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Идиократия,Idiocracy,2005,Майк Джадж,301384,film,dislike,watched,4,07/18/2025
Довод,Tenet,2020,Кристофер Нолан,2023303,film,dislike,watched,4,07/18/2025
King’s Man: Начало,The King’s Man,2021,Мэттью Вон,1617308,film,dislike,watched,4,07/18/2025
Гемини,Gemini Man,2019,Энг Ли,417453,film,dislike,watched,4,07/18/2025
Время для себя,Me Time,2022,Джон Гамбург,2735132,film,dislike,watched,4,07/18/2025
Падение Луны,Moonfall,2022,Роланд Эммерих,1586464,film,dislike,watched,4,07/18/2025
Анчартед: На картах не значится,Uncharted,2022,Рубен Фляйшер,491272,film,dislike,watched,4,07/18/2025
Никто,Nobody,2021,Илья Найшуллер,2139355,film,dislike,watched,4,07/18/2025
Психо,Psycho,1960,Альфред Хичкок,51006,film,dislike,watched,4,07/18/2025
Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,Мишель Гондри,265974,film,dislike,watched,4,07/18/2025
