title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Мармелад,Marmalade,2023,Кейр О’Доннелл,9707837,film,dislike,watched,4,07/18/2025
Озеро Каддо,Caddo Lake,2023,Логан Джордж...,2851889,film,dislike,watched,4,07/18/2025
Пережить Рождество,Surviving Christmas,2004,Майк Митчелл,204002,film,dislike,watched,4,07/18/2025
План Мэгги,Maggie’s Plan,2015,Ребекка Миллер,756385,film,dislike,watched,4,07/18/2025
Четыре Рождества,Four Christmases,2008,Сет Гордон,288708,film,dislike,watched,4,07/18/2025
Крепкий сон,Mientras duermes,2011,Жауме Балагеро,486766,film,dislike,watched,4,07/18/2025
10 на 10,10x10,2018,Сьюзи Юинг,1605798,film,dislike,watched,4,07/18/2025
Шакал,The Jackal,1997,Майкл Кейтон-Джонс,108156,film,dislike,watched,4,07/18/2025
Нежить,In a Violent Nature,2023,Крис Нэш,10784994,film,dislike,watched,4,07/18/2025
Вакансия на жертву,Vacancy,2007,Нимрод Антал,342516,film,dislike,watched,4,07/18/2025
Подай знак,Blink Twice,2024,Зои Кравиц,2790296,film,dislike,watched,4,07/18/2025
Границы безумия,Upon Entry,2022,Алехандро Рохас...,10027629,film,dislike,watched,4,07/18/2025
Ловушка,Trap,2024,М. Найт Шьямалан,10285203,film,dislike,watched,4,07/18/2025
Пожиратель душ,Devour,2005,Дэвид Уинклер,312682,film,dislike,watched,4,07/18/2025
Мой кровавый Валентин 3D,My Bloody Valentine,2009,Патрик Люссье,438992,film,dislike,watched,4,07/18/2025
Приют,El orfanato,2007,Хуан Антонио Байона,349763,film,dislike,watched,4,07/18/2025
Зеркала,Mirrors,2008,Александр Ажа,378644,film,dislike,watched,4,07/18/2025
Тело Дженнифер,Jennifer’s Body,2009,Карин Кусама,431676,film,dislike,watched,4,07/18/2025
И придёт Апостол,Apostle,2018,Гарет Эванс,1605237,film,dislike,watched,4,07/18/2025
Дьявол,Devil,2010,Джон Эрик Даудл,459765,film,dislike,watched,4,07/18/2025
Кэндимен,Candyman,2021,Ниа ДаКоста,2031979,film,dislike,watched,4,07/18/2025
Улыбка,Smile,2022,Паркер Финн,2851983,film,dislike,watched,4,07/18/2025
Конкретный убийца,Totally Killer,2023,Нахнатчка Хан,9103588,film,dislike,watched,4,07/18/2025
Бруклин 45,Brooklyn 45,2023,Тед Гейган,2940746,film,dislike,watched,4,07/18/2025
1922,,2017,Зак Хилдитч,1606362,film,dislike,watched,4,07/18/2025
Песнь Дьявола,A Dark Song,2016,Лайам Гэвин,1541584,film,dislike,watched,4,07/18/2025
"Мое сердце не может биться, пока ты не прикажешь ему",My Heart Can’t Beat Unless You Tell It To,2020,Джонатан Куартас,2154731,film,dislike,watched,4,07/18/2025
Высшее общество,High Life,2018,Клер Дени,1586788,film,dislike,watched,4,07/18/2025
Пацан против всех,Boy Kills World,2023,Мориц Мор,2706111,film,dislike,watched,4,07/18/2025
Плохие парни до конца,Bad Boys: Ride or Die,2024,Адиль Эль Арби...,1447804,film,dislike,watched,4,07/18/2025
Великая ирония,Coup de chance,2023,Вуди Аллен,2825930,film,dislike,watched,4,07/18/2025
Эбигейл,Abigail,2024,Мэтт Беттинелли-Олпин...,10426788,film,dislike,watched,4,07/18/2025
Дитя робота,I Am Mother,2018,Грант Спьютор,1636603,film,dislike,watched,4,07/18/2025
И гаснет свет…,Lights Out,2016,Дэвид Ф. Сандберг,1543289,film,dislike,watched,4,07/18/2025
Зимняя кость,Winter’s Bone,2010,Дебра Граник,478691,film,dislike,watched,4,07/18/2025
Таро: Карта смерти,Tarot,2024,Спенсер Коэн...,2780645,film,dislike,watched,4,07/18/2025
Костяной домик,Little Bone Lodge,2022,Матиас Хёне,9183725,film,dislike,watched,4,07/18/2025
Смотрители,The Watchers,2024,Ишана Шьямалан,10281509,film,dislike,watched,4,07/18/2025
Девятые врата,The Ninth Gate,1999,Роман Полански,122882,film,dislike,watched,4,07/18/2025
Незнакомцы: Жестокие игры,The Strangers: Prey at Night,2018,Йоханнес Робертс,455407,film,dislike,watched,4,07/18/2025
Девятые врата: Пандемониум,Pandemonium,2023,Кваркс,9945134,film,dislike,watched,4,07/18/2025
Омен. Непорочная,Immaculate,2024,Майкл Мохан,10054610,film,dislike,watched,4,07/18/2025
Целиком и полностью,Bones and All,2022,Лука Гуаданьино,2744594,film,dislike,watched,4,07/18/2025
Истерия,Delirium,2016,Дэннис Илиадис,607296,film,dislike,watched,4,07/18/2025
Заброшенный дом,The Abandoned,2006,Начо Серда,357475,film,dislike,watched,4,07/18/2025
Февраль,February,2015,Осгуд Перкинс,742603,film,dislike,watched,4,07/18/2025
Проклятие дудочника,The Piper,2023,Эрлингур Тороддсен,2727503,film,dislike,watched,4,07/18/2025
Проклятый дом 4,Playhouse,2020,Фионн Уоттс...,2010639,film,dislike,watched,4,07/18/2025
Белфегор – призрак Лувра,Belphégor – Le fantôme du Louvre,2001,Жан-Поль Саломе,175291,film,dislike,watched,4,07/18/2025
Кто не спрятался,The Rental,2020,Дэйв Франко,2033000,film,dislike,watched,4,07/18/2025
Заклятье: Дом 32,Malasaña 32,2020,Альберт Пинто,2113889,film,dislike,watched,4,07/18/2025
Мара: Пожиратель снов,Mara,2017,Клайв Тонг,556155,film,dislike,watched,4,07/18/2025
Дневник пастыря,First Reformed,2017,Пол Шредер,1600165,film,dislike,watched,4,07/18/2025
"Тела, тела, тела",Bodies Bodies Bodies,2022,Халина Рейн,2451081,film,dislike,watched,4,07/18/2025
Когда ты закончишь спасать мир,When You Finish Saving the World,2022,Джесси Айзенберг,2371216,film,dislike,watched,4,07/18/2025
Паутина страха,Vermines,2023,Себастьян Ваничек,10346770,film,dislike,watched,4,07/18/2025
Проклятый дом 3,Behind the Walls,2018,Джеймс Конделик...,1473301,film,dislike,watched,4,07/18/2025
Дальше по коридору,Down a Dark Hall,2017,Родриго Кортес,659849,film,dislike,watched,4,07/18/2025
Z,,2019,Брэндон Кристенсен,1689812,film,dislike,watched,4,07/18/2025
11–11–11,,2011,Даррен Линн Боусман,544429,film,dislike,watched,4,07/18/2025
Близнецы,Still/Born,2017,Брэндон Кристенсен,1604005,film,dislike,watched,4,07/18/2025
Абатуар. Лабиринт страха,Abattoir,2014,Даррен Линн Боусман,494322,film,dislike,watched,4,07/18/2025
Проклятый дом,The Witch in the Window,2018,Энди Миттон,1592491,film,dislike,watched,4,07/18/2025
Эффект Лазаря,The Lazarus Effect,2015,Дэвид Гелб,703800,film,dislike,watched,4,07/18/2025
Красная точка,Red Dot,2021,Ален Дарборг,2432189,film,dislike,watched,4,07/18/2025
Пять ночей с Фредди,Five Nights at Freddy’s,2023,Эмма Тамми,1534098,film,dislike,watched,4,07/18/2025
День благодарения,Thanksgiving,2023,Элай Рот,488663,film,dislike,watched,4,07/18/2025
Милая,Sweetheart,2019,Джастин Диллард,1616858,film,dislike,watched,4,07/18/2025
Тишина,Hush,2016,Майк Флэнаган,1537475,film,dislike,watched,4,07/18/2025
