title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id,watchDate
Гарри Поттер и философский камень,Harry Potter and the Sorcerer’s Stone,2001,Крис Коламбус,195927,film,neutral,watched,17,07/18/2025
Гарри Поттер и Тайная комната,Harry Potter and the Chamber of Secrets,2002,Крис Коламбус,235709,film,neutral,watched,17,07/18/2025
Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,Альфонсо Куарон,241359,film,neutral,watched,17,07/18/2025
Гарри Поттер и Кубок огня,Harry Potter and the Goblet of Fire,2005,Майк Ньюэлл,260257,film,neutral,watched,17,07/18/2025
Гарри Поттер и Орден Феникса,Harry Potter and the Order of the Phoenix,2007,Дэвид Йейтс,291850,film,neutral,watched,17,07/18/2025
Гарри Поттер и Принц-полукровка,Harry Potter and the Half-Blood Prince,2009,Дэвид Йейтс,319243,film,neutral,watched,17,07/18/2025
Гарри Поттер и Дары Смерти: Часть I,Harry Potter and the Deathly Hallows: Part 1,2010,Дэвид Йейтс,403654,film,neutral,watched,17,07/18/2025
Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows: Part 2,2011,Дэвид Йейтс,442655,film,neutral,watched,17,07/18/2025
Фантастические твари и где они обитают,Fantastic Beasts and Where to Find Them,2016,Дэвид Йейтс,722648,film,neutral,watched,17,07/18/2025
Фантастические твари: Преступления Грин-де-Вальда,Fantastic Beasts: The Crimes of Grindelwald,2018,Дэвид Йейтс,1442874,film,neutral,watched,17,07/18/2025
Фантастические твари: Тайны Дамблдора,Fantastic Beasts: The Secrets of Dumbledore,2022,Дэвид Йейтс,1442474,film,neutral,watched,17,07/18/2025
