title,originalTitle,releaseYear,director,kinoriumId,type,personalOpinion,status,collections_0_id
Мажор,,2014,Константин Статский...,756014,series,dislike,watched,12
Видеть,See,2019,Андерс Энгстрем...,1681187,series,dislike,watched,12
Happy End,,2021,Евгений Сангаджиев,2315836,series,dislike,watched,12
Патрик Мелроуз,Patrick Melrose,2018,Эдвард Бергер,1624037,series,dislike,watched,12
Общество,The Society,2019,Марк Уэбб...,1691193,series,dislike,watched,12
Дьявол в Огайо,Devil in Ohio,2022,Стивен А. Эделсон...,2837352,series,dislike,watched,12
Дневники вампира,The Vampire Diaries,2009,Крис Грисмер...,479677,series,dislike,watched,12
Ольга,,2016,Алексей Нужный...,1448306,series,dislike,watched,12
Нина,,2022,Егор Чичканов...,2795238,series,dislike,watched,12
Физрук,,2014,Сергей Сенцов...,734352,series,dislike,watched,12
Кайф с доставкой,High Maintenance,2012,Катя Бликфелд...,1480648,series,dislike,watched,12
Кайф с доставкой,High Maintenance,2016,Бен Синклер...,1605119,series,dislike,watched,12
Вторжение,Invasion,2021,Алик Сахаров...,2092919,series,dislike,watched,12
Сверхъестественное,Supernatural,2005,Роберт Сингер...,347572,series,dislike,watched,12
Бодкин,Bodkin,2024,Бронуэн Хьюз...,9581329,series,dislike,watched,12
Первый раз,,2024,Антон Мамыкин,10119241,series,dislike,watched,12
Пациент,The Patient,2022,Крис Лонг...,2851159,series,dislike,watched,12
Оленёнок,Baby Reindeer,2024,Вероника Тофилска...,2686978,series,dislike,watched,12
Джек Ричер,Reacher,2022,Сэм Хилл...,2093615,series,dislike,watched,12
Убийства в Пембрукшире,The Pembrokeshire Murders,2021,Марк Эванс,2338721,series,dislike,watched,12
В погоне за тенями,Chasing Shadows,2014,Кристофер Менол...,775985,series,dislike,watched,12
Переходный возраст,Adolescence,2025,Фил Барантини,11080307,series,dislike,watched,12
Прометей,,2024,Максим Свешников,9495323,series,dislike,watched,12
Выстрелы на пустоши,Scrublands,2023,Грег Маклин...,10298103,series,dislike,watched,12
Блогеры взаперти,,2025,Гарик Петросян,12155021,series,dislike,watched,12
Подслушано в Рыбинске,,2025,Петр Тодоровский,10665339,series,dislike,watched,12
Сопрано,The Sopranos,1999,Тимоти Ван Паттен...,122304,series,dislike,watched,12
Шетланд,Shetland,2013,Ян Маттис...,663802,series,dislike,watched,12
Железное Сердце,Ironheart,2025,Саманта Бэйли...,2678560,series,dislike,watched,12
Газета,The Paper,2025,Джеффри Блитц...,11539644,series,dislike,watched,12
Стокгольмский реквием,Sthlm Rekviem,2018,Карин Фален...,1663991,series,dislike,watched,12
Красный глаз,Red Eye,2024,Кирон Хоукс...,10498586,series,dislike,watched,12
З/Л/О,V/H/S,2018,Л. Густаво Купер...,1708008,series,dislike,watched,12
